
fps: 78  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
